"","datetime","discharge_daily"
"164",2014-06-13,15158.5833333333
"165",2014-06-14,15658.4166666667
"166",2014-06-15,17335.7916666667
"167",2014-06-16,16336.75
"168",2014-06-17,13269.375
"169",2014-06-18,10579.7875
"170",2014-06-19,8851.575
"171",2014-06-20,7829.77083333333
"172",2014-06-21,7096.32916666667
"173",2014-06-22,6376.25
"174",2014-06-23,5797
"175",2014-06-24,5355.31666666667
"176",2014-06-25,4980.56666666667
"177",2014-06-26,4731.36666666667
"178",2014-06-27,4736.7125
"179",2014-06-28,4660.37083333333
"180",2014-06-29,4399.575
"181",2014-06-30,4067.44583333333
"182",2014-07-01,3774.65
"183",2014-07-02,3531.92916666667
"184",2014-07-03,3772.2875
"185",2014-07-04,3802.54166666667
"186",2014-07-05,3605.95
"187",2014-07-06,3396.71666666667
"188",2014-07-07,3201.55416666667
"189",2014-07-08,3074.45416666667
"190",2014-07-09,3242.2125
"191",2014-07-10,3044.8875
"192",2014-07-11,3110.2625
"193",2014-07-12,2722.2875
"194",2014-07-13,2471.15
"195",2014-07-14,2380.62083333333
"196",2014-07-15,2928.75833333333
"197",2014-07-16,3529.39166666667
"198",2014-07-17,2877.3375
"199",2014-07-18,2586.8625
"200",2014-07-19,2349.40416666667
"201",2014-07-20,2138.24166666667
"202",2014-07-21,1977.85416666667
"203",2014-07-22,1835.58333333333
"204",2014-07-23,1735.76666666667
"205",2014-07-24,1711.2
"206",2014-07-25,1737.45833333333
"207",2014-07-26,1739.18333333333
"208",2014-07-27,1694.19166666667
"209",2014-07-28,1627.95416666667
"210",2014-07-29,1623.19166666667
"211",2014-07-30,1681.83333333333
"212",2014-07-31,1697.9625
"213",2014-08-01,1637.57916666667
"214",2014-08-02,1574.99583333333
"215",2014-08-03,1513.5375
"216",2014-08-04,1590.85833333333
"217",2014-08-05,1666.35833333333
"218",2014-08-06,1719.8125
"219",2014-08-07,1698.95
"220",2014-08-08,1660.59166666667
"221",2014-08-09,1593.78333333333
"222",2014-08-10,1487.6875
"223",2014-08-11,1359.1375
"224",2014-08-12,2681.34166666667
"225",2014-08-13,2742.89583333333
"226",2014-08-14,2152.08333333333
"227",2014-08-15,2026.40416666667
"228",2014-08-16,1911.6125
"229",2014-08-17,1803.50416666667
"230",2014-08-18,1719.50416666667
"231",2014-08-19,1665.14583333333
"232",2014-08-20,1750.7875
"233",2014-08-21,2293.84583333333
"234",2014-08-22,2352.24166666667
"235",2014-08-23,2490.9375
"236",2014-08-24,2774.34583333333
"237",2014-08-25,2418.04583333333
"238",2014-08-26,2246.25
"239",2014-08-27,2096.625
"240",2014-08-28,1967.00833333333
"241",2014-08-29,1828.2875
"242",2014-08-30,1717.5625
"243",2014-08-31,1674.70833333333
"244",2014-09-01,2063.425
"245",2014-09-02,1741.90416666667
"246",2014-09-03,1710.52916666667
"247",2014-09-04,1578.52083333333
"248",2014-09-05,1436.99583333333
"249",2014-09-06,1311.1625
"250",2014-09-07,1278.87916666667
"251",2014-09-08,1304.2375
"252",2014-09-09,1317.74583333333
"253",2014-09-10,1258.1
"254",2014-09-11,1149.125
"255",2014-09-12,1024.03083333333
"256",2014-09-13,905.949583333333
"257",2014-09-14,805.965
"258",2014-09-15,723.84125
"259",2014-09-16,657.2275
"260",2014-09-17,602.25625
"261",2014-09-18,556.527083333333
"262",2014-09-19,513.52
"263",2014-09-20,471.137916666667
"264",2014-09-21,429.058333333333
"265",2014-09-22,387.555833333333
"266",2014-09-23,347.778333333333
"267",2014-09-24,310.754166666667
"268",2014-09-25,754.385416666667
"269",2014-09-26,832.731666666667
"270",2014-09-27,706.765833333333
"271",2014-09-28,616.408333333333
"272",2014-09-29,545.3775
"273",2014-09-30,480.756666666667
"274",2014-10-01,480.142083333333
"275",2014-10-02,473.24375
"276",2014-10-03,452.639583333333
"277",2014-10-04,622.401666666667
"278",2014-10-05,669.1375
"279",2014-10-06,653.306666666667
"280",2014-10-07,646.09375
"281",2014-10-08,733.588333333333
"282",2014-10-09,697.672916666667
"283",2014-10-10,650.207083333333
"284",2014-10-11,732.075
"285",2014-10-12,761.294583333333
"286",2014-10-13,730.965
"287",2014-10-14,712.217916666667
"288",2014-10-15,1137.61625
"289",2014-10-16,2652.0375
"290",2014-10-17,3638.8375
"291",2014-10-18,4200.17083333333
"292",2014-10-19,4226.7375
"293",2014-10-20,4028.075
"294",2014-10-21,3826.0625
"295",2014-10-22,4224.825
"296",2014-10-23,3849.87916666667
"297",2014-10-24,3465.24166666667
"298",2014-10-25,3186.83333333333
"299",2014-10-26,2956.82916666667
"300",2014-10-27,2770.02083333333
"301",2014-10-28,2611.275
"302",2014-10-29,2475.60833333333
"303",2014-10-30,2365.91666666667
