"","datetime","discharge"
"163",2018-05-04 19:00:00,7891.6
"164",2018-05-04 20:00:00,7869.4
"165",2018-05-04 21:00:00,7847.9
"166",2018-05-04 22:00:00,7826.1
"167",2018-05-04 23:00:00,7803.9
"168",2018-05-05 00:00:00,7782.1
"169",2018-05-05 01:00:00,7762.6
"170",2018-05-05 02:00:00,7745.6
"171",2018-05-05 03:00:00,7729.5
"172",2018-05-05 04:00:00,7712.9
"173",2018-05-05 05:00:00,7695.5
"174",2018-05-05 06:00:00,7677.5
"175",2018-05-05 07:00:00,7658.4
"176",2018-05-05 08:00:00,7637.8
"177",2018-05-05 09:00:00,7615.8
"178",2018-05-05 10:00:00,7592.5
"179",2018-05-05 11:00:00,7568.6
"180",2018-05-05 12:00:00,7544.5
"181",2018-05-05 13:00:00,7520
"182",2018-05-05 14:00:00,7496.1
"183",2018-05-05 15:00:00,7474.2
"184",2018-05-05 16:00:00,7452.8
"185",2018-05-05 17:00:00,7430
"186",2018-05-05 18:00:00,7407.9
"187",2018-05-05 19:00:00,7385.9
"188",2018-05-05 20:00:00,7364.5
"189",2018-05-05 21:00:00,7348.2
"190",2018-05-05 22:00:00,7334
"191",2018-05-05 23:00:00,7321.1
"192",2018-05-06 00:00:00,7312.2
"193",2018-05-06 01:00:00,7303.8
"194",2018-05-06 02:00:00,7296.7
"195",2018-05-06 03:00:00,7296.7
"196",2018-05-06 04:00:00,7293.3
"197",2018-05-06 05:00:00,7279.7
"198",2018-05-06 06:00:00,7264.7
"199",2018-05-06 07:00:00,7249.3
"200",2018-05-06 08:00:00,7233.5
"201",2018-05-06 09:00:00,7217.3
"202",2018-05-06 10:00:00,7200.9
"203",2018-05-06 11:00:00,7185.5
"204",2018-05-06 12:00:00,7172
"205",2018-05-06 13:00:00,7163
"206",2018-05-06 14:00:00,7161.5
"207",2018-05-06 15:00:00,7166.2
"208",2018-05-06 16:00:00,7172
"209",2018-05-06 17:00:00,7176
"210",2018-05-06 18:00:00,7178.2
"211",2018-05-06 19:00:00,7179.4
"212",2018-05-06 20:00:00,7180.3
"213",2018-05-06 21:00:00,7180.9
"214",2018-05-06 22:00:00,7181.5
"215",2018-05-06 23:00:00,7182.5
"216",2018-05-07 00:00:00,7184.1
"217",2018-05-07 01:00:00,7186.3
"218",2018-05-07 02:00:00,7189.3
"219",2018-05-07 03:00:00,7193.1
"220",2018-05-07 04:00:00,7197.5
"221",2018-05-07 05:00:00,7202.4
"222",2018-05-07 06:00:00,7207.9
"223",2018-05-07 07:00:00,7213.6
"224",2018-05-07 08:00:00,7218.9
"225",2018-05-07 09:00:00,7223.8
"226",2018-05-07 10:00:00,7228.2
"227",2018-05-07 11:00:00,7232
"228",2018-05-07 12:00:00,7235.3
"229",2018-05-07 13:00:00,7238.4
"230",2018-05-07 14:00:00,7241.4
"231",2018-05-07 15:00:00,7244.4
"232",2018-05-07 16:00:00,7247.5
"233",2018-05-07 17:00:00,7251
"234",2018-05-07 18:00:00,7254.9
"235",2018-05-07 19:00:00,7259
"236",2018-05-07 20:00:00,7263.2
"237",2018-05-07 21:00:00,7267.4
"238",2018-05-07 22:00:00,7271.2
"239",2018-05-07 23:00:00,7274.8
"240",2018-05-08 00:00:00,7278.3
"241",2018-05-08 01:00:00,7281.7
"242",2018-05-08 02:00:00,7285.2
"243",2018-05-08 03:00:00,7288.8
"244",2018-05-08 04:00:00,7292.5
"245",2018-05-08 05:00:00,7296.5
"246",2018-05-08 06:00:00,7300.8
"247",2018-05-08 07:00:00,7305.3
"248",2018-05-08 08:00:00,7309.7
"249",2018-05-08 09:00:00,7314.2
"250",2018-05-08 10:00:00,7318.8
"251",2018-05-08 11:00:00,7323.9
"252",2018-05-08 12:00:00,7329.6
"253",2018-05-08 13:00:00,7336.3
"254",2018-05-08 14:00:00,7344.4
"255",2018-05-08 15:00:00,7354.1
"256",2018-05-08 16:00:00,7365.8
"257",2018-05-08 17:00:00,7379.9
"258",2018-05-08 18:00:00,7396.5
"259",2018-05-08 19:00:00,7415.7
"260",2018-05-08 20:00:00,7437.7
"261",2018-05-08 21:00:00,7462.5
"262",2018-05-08 22:00:00,7489.9
"263",2018-05-08 23:00:00,7520.4
"264",2018-05-09 00:00:00,7554.2
"265",2018-05-09 01:00:00,7591.7
"266",2018-05-09 02:00:00,7633.1
"267",2018-05-09 03:00:00,7678.5
"268",2018-05-09 04:00:00,7733.5
"269",2018-05-09 05:00:00,7805.1
"270",2018-05-09 06:00:00,7889.5
"271",2018-05-09 07:00:00,7978.5
"272",2018-05-09 08:00:00,8068.7
"273",2018-05-09 09:00:00,8159.2
"274",2018-05-09 10:00:00,8249.7
"275",2018-05-09 11:00:00,8340.6
"276",2018-05-09 12:00:00,8432.3
"277",2018-05-09 13:00:00,8525
"278",2018-05-09 14:00:00,8619
"279",2018-05-09 15:00:00,8714.2
"280",2018-05-09 16:00:00,8810.6
"281",2018-05-09 17:00:00,8908
"282",2018-05-09 18:00:00,9006
"283",2018-05-09 19:00:00,9105
"284",2018-05-09 20:00:00,9221
"285",2018-05-09 21:00:00,9335.5
